id,table_id,record_id,title
1,0,1,"id 218 -- cluster: Kinetic~ Pragmatic~ Multitasker~ Evaluator | Inspired primarily by: Nature | Sees self as: As a visionary | Best at: Seeing problems to solve/Seeing opportunities | Driven by: Notoriety | Network reach: degree 64, betweenness 0.174"
2,0,2,Time: Late Morning
3,0,3,Juggle/Specialist: Multitasker
4,0,4,Details: Pragmatic
5,0,5,Kinetic/Cerebral/Intuitive: Kinetic
6,0,6,Process: Evaluator
7,0,7,Pace: Moderate
8,0,8,Confidence: Self Doubting
9,0,9,Mood: Sensitive
10,0,10,Adaptable/Determined: Adaptive
11,0,11,Chance/Risk/Habit: Rule Breaker
12,0,12,"Network context: degree 64, betweenness 0.174, bridging 2.69, cluster size 119, diversity 0.77"
