id,table_id,record_id,title
1,0,1,"Louvain0_0: Cerebral~ Self-confident~ Ideator -- 59 members | mean degree 5.8 (highest 49) | mean centrality 1.82, bridging 1.02, diversity 0.73"
2,0,2,Time: Late Nights (shared by all 59 members of this cluster)
3,0,3,Juggle/Specialist: Specialist (shared by all 59 members of this cluster)
4,0,4,Focus: Daydreamer (shared by all 59 members of this cluster)
5,0,5,Details: Perfectionist (shared by all 59 members of this cluster)
6,0,6,Kinetic/Cerebral/Intuitive: Cerebral (shared by all 59 members of this cluster)
7,0,7,Organization: Organized (shared by all 59 members of this cluster)
8,0,8,Process: Ideator (shared by all 59 members of this cluster)
9,0,9,Pace: Moderate (shared by all 59 members of this cluster)
10,0,10,Confidence: Self Confident (shared by all 59 members of this cluster)
11,0,11,Mean degree within cluster: 5.8
12,0,12,Highest-degree member in this cluster: degree 49
13,0,13,Centrality (mean within cluster): 1.82
14,0,14,Bridging (mean within cluster): 1.02
15,0,15,Diversity (mean within cluster): 0.73
16,0,16,"Louvain0_1: Kinetic~ Perfectionist~ Multitasker~ Doer -- 106 members | mean degree 5.6 (highest 37) | mean centrality 2.58, bridging 0.69, diversity 0.57"
17,0,17,Time: Evening (shared by all 106 members of this cluster)
18,0,18,Juggle/Specialist: Multitasker (shared by all 106 members of this cluster)
19,0,19,Details: Perfectionist (shared by all 106 members of this cluster)
20,0,20,Kinetic/Cerebral/Intuitive: Kinetic (shared by all 106 members of this cluster)
21,0,21,Organization: Organized (shared by all 106 members of this cluster)
22,0,22,Process: Doer (shared by all 106 members of this cluster)
23,0,23,Pace: Hyperactive (shared by all 106 members of this cluster)
24,0,24,Confidence: Self Confident (shared by all 106 members of this cluster)
25,0,25,Social/Solitary: Social (shared by all 106 members of this cluster)
26,0,26,Mood: Stable (shared by all 106 members of this cluster)
27,0,27,Mean degree within cluster: 5.6
28,0,28,Highest-degree member in this cluster: degree 37
29,0,29,Centrality (mean within cluster): 2.58
30,0,30,Bridging (mean within cluster): 0.69
31,0,31,Diversity (mean within cluster): 0.57
32,0,32,"Louvain0_2: Kinetic~ Driven~ Solitary~ Doer -- 28 members | mean degree 3.6 (highest 8) | mean centrality 1.62, bridging 0.62, diversity 0.54"
33,0,33,Time: Early Morning (shared by all 28 members of this cluster)
34,0,34,Focus: Hardworking (shared by all 28 members of this cluster)
35,0,35,Details: Detail Oriented/Principled (shared by all 28 members of this cluster)
36,0,36,Kinetic/Cerebral/Intuitive: Kinetic (shared by all 28 members of this cluster)
37,0,37,Organization: Neat (shared by all 28 members of this cluster)
38,0,38,Process: Doer (shared by all 28 members of this cluster)
39,0,39,Pace: Moderate (shared by all 28 members of this cluster)
40,0,40,Confidence: Self Confident (shared by all 28 members of this cluster)
41,0,41,Social/Solitary: Solitary (shared by all 28 members of this cluster)
42,0,42,Mood: Stable (shared by all 28 members of this cluster)
43,0,43,Adaptable/Determined: Felxible (shared by all 28 members of this cluster)
44,0,44,Chance/Risk/Habit: Deliberate (shared by all 28 members of this cluster)
45,0,45,Mean degree within cluster: 3.6
46,0,46,Highest-degree member in this cluster: degree 8
47,0,47,Centrality (mean within cluster): 1.62
48,0,48,Bridging (mean within cluster): 0.62
49,0,49,Diversity (mean within cluster): 0.54
50,0,50,"Louvain0_3: Kinetic~ Pragmatic~ Multitasker~ Evaluator -- 119 members | mean degree 6.4 (highest 64) | mean centrality 3.70, bridging 0.55, diversity 0.36"
51,0,51,Time: Late Morning (shared by all 119 members of this cluster)
52,0,52,Juggle/Specialist: Multitasker (shared by all 119 members of this cluster)
53,0,53,Details: Pragmatic (shared by all 119 members of this cluster)
54,0,54,Kinetic/Cerebral/Intuitive: Kinetic (shared by all 119 members of this cluster)
55,0,55,Process: Evaluator (shared by all 119 members of this cluster)
56,0,56,Pace: Moderate (shared by all 119 members of this cluster)
57,0,57,Confidence: Self Doubting (shared by all 119 members of this cluster)
58,0,58,Mood: Sensitive (shared by all 119 members of this cluster)
59,0,59,Adaptable/Determined: Adaptive (shared by all 119 members of this cluster)
60,0,60,Chance/Risk/Habit: Rule Breaker (shared by all 119 members of this cluster)
61,0,61,Mean degree within cluster: 6.4
62,0,62,Highest-degree member in this cluster: degree 64
63,0,63,Centrality (mean within cluster): 3.70
64,0,64,Bridging (mean within cluster): 0.55
65,0,65,Diversity (mean within cluster): 0.36
66,0,66,"Louvain0_4: Self-Critical~ Solitary~ Risk Averse~ Doer -- 33 members | mean degree 4.1 (highest 10) | mean centrality 1.74, bridging 0.75, diversity 0.65"
67,0,67,Time: Late Morning (shared by all 33 members of this cluster)
68,0,68,Details: Pragmatic (shared by all 33 members of this cluster)
69,0,69,Kinetic/Cerebral/Intuitive: Cerebral (shared by all 33 members of this cluster)
70,0,70,Process: Evaluator (shared by all 33 members of this cluster)
71,0,71,Pace: Slow (shared by all 33 members of this cluster)
72,0,72,Confidence: Self Critical (shared by all 33 members of this cluster)
73,0,73,Social/Solitary: Solitary (shared by all 33 members of this cluster)
74,0,74,Chance/Risk/Habit: Risk Averse (shared by all 33 members of this cluster)
75,0,75,Mean degree within cluster: 4.1
76,0,76,Highest-degree member in this cluster: degree 10
77,0,77,Centrality (mean within cluster): 1.74
78,0,78,Bridging (mean within cluster): 0.75
79,0,79,Diversity (mean within cluster): 0.65
80,0,80,"Louvain0_5: Cerebral~ Rule-Breaking~ Envisioner -- 45 members | mean degree 5.7 (highest 23) | mean centrality 2.14, bridging 0.93, diversity 0.62"
81,0,81,Time: Early Morning (shared by all 45 members of this cluster)
